web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,species.specificity.index,resource.range,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d
basset1996,1,2,0.074074074,0.5,-0.25,0.571428571,0.961538462,0.693375245,0.961538462,1,1.285714286,0.083333333,0.076923077,0.134328358,0.095990966,268435505,0.693147181,2,0.195121951,0.086672389,0
basset1996,2,4,0.148148148,2.5,0.375,0.285714286,0.884615385,0.470269972,0.884615385,1,1.285714286,0.083333333,0.076923077,0.134328358,0.095990966,2147483650,1.386294361,4,0.243902439,0.173344779,0.428571429
basset1996,3,2,0.074074074,0.5,-0.25,0.714285714,0.961538462,0.693375245,0.961538462,1,1.285714286,0.055555556,0,0.134328358,0.095990966,268435505,0.693147181,2,0.195121951,0.086672389,0
basset1996,4,2,0.074074074,0.5,-0.25,0.857142857,0.961538462,0.693375245,0.961538462,1,1.142857143,0.222222222,0.153846154,0.145522388,0.092391304,268435505,0.693147181,2,0.195121951,0.086672389,0
basset1996,5,10,0.37037037,6,0.5,0.142857143,0.653846154,0.255704156,0.653846154,1,1.142857143,0.555555556,0.692307692,0.145522388,0.110317975,2147483653,2.302585093,10,0.512195122,0.433361947,0.181818182
basset1996,6,2,0.074074074,1.25,0.125,1,0.961538462,0.693375245,0.961538462,1,1.714285714,0,0,0.108208955,0.061594203,268435505,0.693147181,2,0.12195122,0.086672389,0.5
basset1996,7,4,0.148148148,3.5,0.625,0.428571429,0.884615385,0.470269972,0.884615385,1,2,0,0,0.085820896,0.058199247,2147483650,1.386294361,4,0.12195122,0.173344779,0.857142857
basset1996,8,15,0.555555556,12.25,0.75,0,0.461538462,0.175411604,0.461538462,1,1.571428571,0,0,0.111940299,0.098550725,4294967304,2.708050201,15,0.505691057,0.650042921,0.454545455
bluthgen2006,1,4,0.4,1.688311688,0.172077922,0,0.666666667,0.40824829,0.666666667,1,1.25,0.047474747,0.028768355,0.034825871,0.028350256,2147483650,1.386294361,4,0.45,0.705641669,0.35897218
bluthgen2006,2,1,0.1,0.111111111,-0.888888889,0.3125,1,1,1,1,1.8125,0,0,0.024461028,0.017179409,134217776.5,0,1,0.18,0.176410417,0.289163895
bluthgen2006,3,1,0.1,0.045454545,-0.954545455,0.34375,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
bluthgen2006,4,2,0.2,0.188311688,-0.405844156,0.15625,0.888888889,0.666666667,0.888888889,1,1.25,0.047474747,0.028768355,0.034825871,0.027019258,268435505,0.693147181,2,0.58,0.352820835,0.047523022
bluthgen2006,5,1,0.1,0.111111111,-0.888888889,0.375,1,1,1,1,1.8125,0,0,0.024461028,0.017179409,134217776.5,0,1,0.18,0.176410417,0.289163895
bluthgen2006,6,1,0.1,0.045454545,-0.954545455,0.40625,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
bluthgen2006,7,1,0.1,0.045454545,-0.954545455,0.4375,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
bluthgen2006,8,2,0.2,0.253968254,-0.373015873,0.1875,0.888888889,0.666666667,0.888888889,1,1.625,0.040395022,0.017980222,0.027777778,0.022393393,268435505,0.693147181,2,0.32,0.352820835,0.216542073
bluthgen2006,9,1,0.1,0.045454545,-0.954545455,0.46875,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
bluthgen2006,10,1,0.1,0.045454545,-0.954545455,0.5,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
bluthgen2006,11,1,0.1,0.045454545,-0.954545455,0.53125,1,1,1,1,1.34375,0,0,0.032960199,0.022569028,134217776.5,0,1,0.44,0.176410417,0
