web,speciesID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
basset1996,9,1,0.125,0.1,-0.9,0.307692308,1,1,1,0.1,1.692307692,0,0,0.036274852,0.021574671,134217776.5,0,1,0.172825791,0.243902439,0.149725846
basset1996,10,2,0.25,0.35,-0.325,0.115384615,0.857142857,0.857142857,0.654653671,0.175,1.576923077,0.246428571,0.23025584,0.039414022,0.023192771,268435505,0.693147181,2,0.345651581,0.341463415,0.263790071
basset1996,11,1,0.125,0.1,-0.9,0.346153846,1,1,1,0.1,1.692307692,0,0,0.036274852,0.021574671,134217776.5,0,1,0.172825791,0.243902439,0.149725846
basset1996,12,1,0.125,0.25,-0.75,0.384615385,1,1,1,0.25,2.461538462,0,0,0.025287757,0.014725569,134217776.5,0,1,0.172825791,0.097560976,0.48808395
basset1996,13,1,0.125,0.066666667,-0.933333333,0.423076923,1,1,1,0.066666667,1.692307692,0,0,0.039762818,0.02182849,134217776.5,0,1,0.172825791,0.365853659,0
basset1996,14,1,0.125,0.25,-0.75,0.461538462,1,1,1,0.25,2.384615385,0,0,0.025810952,0.016419661,134217776.5,0,1,0.172825791,0.097560976,0.48808395
basset1996,15,1,0.125,0.5,-0.5,0.5,1,1,1,0.5,2.884615385,0,0,0.020404604,0.013445085,134217776.5,0,1,0.172825791,0.048780488,0.744041975
basset1996,16,1,0.125,0.066666667,-0.933333333,0.538461538,1,1,1,0.066666667,1.692307692,0,0,0.039762818,0.02182849,134217776.5,0,1,0.172825791,0.365853659,0
basset1996,17,1,0.125,0.066666667,-0.933333333,0.576923077,1,1,1,0.066666667,1.692307692,0,0,0.039762818,0.02182849,134217776.5,0,1,0.172825791,0.365853659,0
basset1996,18,1,0.125,0.066666667,-0.933333333,0.615384615,1,1,1,0.066666667,1.692307692,0,0,0.039762818,0.02182849,134217776.5,0,1,0.172825791,0.365853659,0
basset1996,19,2,0.25,0.166666667,-0.416666667,0.153846154,0.857142857,0.857142857,0.654653671,0.083333333,1.307692308,0.069047619,0.046718576,0.046738751,0.029926156,268435505,0.693147181,2,0.345651581,0.609756098,0
basset1996,20,1,0.125,0.066666667,-0.933333333,0.653846154,1,1,1,0.066666667,1.692307692,0,0,0.039762818,0.02182849,134217776.5,0,1,0.172825791,0.365853659,0
basset1996,21,2,0.25,0.166666667,-0.416666667,0.192307692,0.857142857,0.857142857,0.654653671,0.083333333,1.307692308,0.069047619,0.046718576,0.046738751,0.029926156,268435505,0.693147181,2,0.345651581,0.609756098,0
basset1996,22,1,0.125,0.066666667,-0.933333333,0.692307692,1,1,1,0.066666667,1.692307692,0,0,0.039762818,0.02182849,134217776.5,0,1,0.172825791,0.365853659,0
basset1996,23,4,0.5,1.166666667,0.041666667,0,0.571428571,0.571428571,0.377964473,0.291666667,1.230769231,0.191666667,0.251390434,0.048133938,0.032551258,2147483650,1.386294361,4,0.691303163,0.591463415,0.178113126
basset1996,24,1,0.125,0.1,-0.9,0.730769231,1,1,1,0.1,1.692307692,0,0,0.036274852,0.021574671,134217776.5,0,1,0.172825791,0.243902439,0.149725846
basset1996,25,4,0.5,1.75,0.1875,0.038461538,0.571428571,0.571428571,0.377964473,0.4375,1.923076923,0.104761905,0.083426029,0.031391699,0.021084337,2147483650,1.386294361,4,0.691303163,0.243902439,0.554717185
basset1996,26,2,0.25,0.166666667,-0.416666667,0.230769231,0.857142857,0.857142857,0.654653671,0.083333333,1.307692308,0.069047619,0.046718576,0.046738751,0.029926156,268435505,0.693147181,2,0.345651581,0.609756098,0
basset1996,27,4,0.5,1.35,0.0875,0.076923077,0.571428571,0.571428571,0.377964473,0.3375,1.538461538,0.180952381,0.248053393,0.039762818,0.027692861,2147483650,1.386294361,4,0.691303163,0.43902439,0.347934249
basset1996,28,2,0.25,0.166666667,-0.416666667,0.269230769,0.857142857,0.857142857,0.654653671,0.083333333,1.307692308,0.069047619,0.046718576,0.046738751,0.029926156,268435505,0.693147181,2,0.345651581,0.609756098,0
basset1996,29,1,0.125,0.066666667,-0.933333333,0.769230769,1,1,1,0.066666667,1.692307692,0,0,0.039762818,0.02182849,134217776.5,0,1,0.172825791,0.365853659,0
basset1996,30,1,0.125,0.066666667,-0.933333333,0.807692308,1,1,1,0.066666667,1.692307692,0,0,0.039762818,0.02182849,134217776.5,0,1,0.172825791,0.365853659,0
basset1996,31,1,0.125,0.066666667,-0.933333333,0.846153846,1,1,1,0.066666667,1.692307692,0,0,0.039762818,0.02182849,134217776.5,0,1,0.172825791,0.365853659,0
basset1996,32,1,0.125,0.25,-0.75,0.884615385,1,1,1,0.25,2.461538462,0,0,0.025287757,0.014725569,134217776.5,0,1,0.172825791,0.097560976,0.48808395
