web,speciesID,degree,species.strength,closeness,weighted.closeness,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
basset1996,9,1,0.1,0.036274852,0.021574671,0,1,0.172825791,0.243902439,0.149725846
basset1996,10,2,0.35,0.039414022,0.023192771,0.693147181,2,0.345651581,0.341463415,0.263790071
basset1996,11,1,0.1,0.036274852,0.021574671,0,1,0.172825791,0.243902439,0.149725846
basset1996,12,1,0.25,0.025287757,0.014725569,0,1,0.172825791,0.097560976,0.48808395
basset1996,13,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,14,1,0.25,0.025810952,0.016419661,0,1,0.172825791,0.097560976,0.48808395
basset1996,15,1,0.5,0.020404604,0.013445085,0,1,0.172825791,0.048780488,0.744041975
basset1996,16,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,17,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,18,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,19,2,0.166666667,0.046738751,0.029926156,0.693147181,2,0.345651581,0.609756098,0
basset1996,20,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,21,2,0.166666667,0.046738751,0.029926156,0.693147181,2,0.345651581,0.609756098,0
basset1996,22,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,23,4,1.166666667,0.048133938,0.032551258,1.386294361,4,0.691303163,0.591463415,0.178113126
basset1996,24,1,0.1,0.036274852,0.021574671,0,1,0.172825791,0.243902439,0.149725846
basset1996,25,4,1.75,0.031391699,0.021084337,1.386294361,4,0.691303163,0.243902439,0.554717185
basset1996,26,2,0.166666667,0.046738751,0.029926156,0.693147181,2,0.345651581,0.609756098,0
basset1996,27,4,1.35,0.039762818,0.027692861,1.386294361,4,0.691303163,0.43902439,0.347934249
basset1996,28,2,0.166666667,0.046738751,0.029926156,0.693147181,2,0.345651581,0.609756098,0
basset1996,29,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,30,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,31,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,32,1,0.25,0.025287757,0.014725569,0,1,0.172825791,0.097560976,0.48808395
basset1996,33,1,0.066666667,0.039762818,0.02182849,0,1,0.172825791,0.365853659,0
basset1996,34,1,0.25,0.025810952,0.016419661,0,1,0.172825791,0.097560976,0.48808395
basset1996,35,1,0.25,0.025287757,0.014725569,0,1,0.172825791,0.097560976,0.48808395
bluthgen2006,34,1,0.25,0.096774194,0.047265987,0,1,0.034950019,0.08,0
bluthgen2006,35,7,3.833333333,0.112903226,0.081730769,1.945910149,7,0.244650135,0.34,0.294742739
bluthgen2006,36,2,1.333333333,0.088709677,0.045883941,0.693147181,2,0.069900038,0.08,0.603759375
bluthgen2006,37,2,1.5,0.080645161,0.044835165,0.693147181,2,0.069900038,0.06,0.75
bluthgen2006,38,22,16.5,0.14516129,0.099318403,3.091042453,22,0.768900423,0.647272727,0.072701431
bluthgen2006,39,9,6.583333333,0.10483871,0.074020319,2.197224577,9,0.314550173,0.32,0.562131575
bluthgen2006,40,1,0.333333333,0.088709677,0.046426946,0,1,0.034950019,0.06,0.20751875
bluthgen2006,41,1,0.5,0.080645161,0.044835165,0,1,0.034950019,0.04,0.5
bluthgen2006,42,2,0.5,0.10483871,0.066492829,0.693147181,2,0.069900038,0.16,0
bluthgen2006,43,3,1.666666667,0.096774194,0.064844247,1.098612289,3,0.104850058,0.14,0.432417854
bodner20096,10,1,0.5,0.084142395,0.047619048,0,1,0.123546351,0.111111111,0.5
bodner20096,11,1,0.25,0.098705502,0.047619048,0,1,0.123546351,0.222222222,0
bodner20096,12,1,0.333333333,0.097087379,0.052631579,0,1,0.123546351,0.166666667,0.20751875
bodner20096,13,2,0.75,0.122977346,0.066666667,0.693147181,2,0.247092702,0.333333333,0.163171163
bodner20096,14,3,1.833333333,0.106796117,0.055555556,1.098612289,3,0.370639053,0.333333333,0.436208584
bodner20096,15,5,2.833333333,0.13592233,0.076923077,1.609437912,5,0.617731754,0.555555556,0.303722307
bodner20096,16,1,0.25,0.098705502,0.047619048,0,1,0.123546351,0.222222222,0
bodner20096,17,1,0.25,0.098705502,0.047619048,0,1,0.123546351,0.222222222,0
bodner20096,18,1,0.5,0.072815534,0.038461538,0,1,0.123546351,0.111111111,0.5
