web,speciesID,degree,species.strength,closeness,weighted.closeness,partner.diversity,effective.partners,proportional.similarity,proportional.generality,d
basset1996,1,2,0.5,0.134328358,0.095990966,0.693147181,2,0.195121951,0.086672389,0
basset1996,2,4,2.5,0.134328358,0.095990966,1.386294361,4,0.243902439,0.173344779,0.428571429
basset1996,3,2,0.5,0.134328358,0.095990966,0.693147181,2,0.195121951,0.086672389,0
basset1996,4,2,0.5,0.145522388,0.092391304,0.693147181,2,0.195121951,0.086672389,0
basset1996,5,10,6,0.145522388,0.110317975,2.302585093,10,0.512195122,0.433361947,0.181818182
basset1996,6,2,1.25,0.108208955,0.061594203,0.693147181,2,0.12195122,0.086672389,0.5
basset1996,7,4,3.5,0.085820896,0.058199247,1.386294361,4,0.12195122,0.173344779,0.857142857
basset1996,8,15,12.25,0.111940299,0.098550725,2.708050201,15,0.505691057,0.650042921,0.454545455
bluthgen2006,1,4,1.688311688,0.034825871,0.028350256,1.386294361,4,0.45,0.705641669,0.35897218
bluthgen2006,2,1,0.111111111,0.024461028,0.017179409,0,1,0.18,0.176410417,0.289163895
bluthgen2006,3,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,4,2,0.188311688,0.034825871,0.027019258,0.693147181,2,0.58,0.352820835,0.047523022
bluthgen2006,5,1,0.111111111,0.024461028,0.017179409,0,1,0.18,0.176410417,0.289163895
bluthgen2006,6,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,7,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,8,2,0.253968254,0.027777778,0.022393393,0.693147181,2,0.32,0.352820835,0.216542073
bluthgen2006,9,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,10,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,11,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,12,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,13,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,14,1,0.5,0.019693201,0.014794607,0,1,0.04,0.176410417,0.775756176
bluthgen2006,15,2,0.545454545,0.03358209,0.02311286,0.693147181,2,0.48,0.352820835,0.284417823
bluthgen2006,16,1,0.333333333,0.019693201,0.014756672,0,1,0.06,0.176410417,0.644581948
bluthgen2006,17,3,0.521645022,0.035447761,0.027802425,1.098612289,3,0.533333333,0.529231252,0.151864167
bluthgen2006,18,1,0.142857143,0.023217247,0.01653765,0,1,0.14,0.176410417,0.370467996
bluthgen2006,19,1,0.142857143,0.023217247,0.01653765,0,1,0.14,0.176410417,0.370467996
bluthgen2006,20,4,0.799422799,0.037935323,0.03110866,1.386294361,4,0.61,0.705641669,0.113168069
bluthgen2006,21,1,0.111111111,0.024461028,0.017179409,0,1,0.18,0.176410417,0.289163895
bluthgen2006,22,3,0.656565657,0.037313433,0.028350256,1.098612289,3,0.553333333,0.529231252,0.173172835
bluthgen2006,23,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,24,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,25,2,1.045454545,0.032960199,0.022569028,0.693147181,2,0.46,0.352820835,0.415490474
bluthgen2006,26,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,27,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,28,1,0.5,0.01844942,0.01323012,0,1,0.04,0.176410417,0.775756176
bluthgen2006,29,1,0.045454545,0.032960199,0.022569028,0,1,0.44,0.176410417,0
bluthgen2006,30,1,0.111111111,0.024461028,0.017179409,0,1,0.18,0.176410417,0.289163895
bluthgen2006,31,2,0.156565657,0.036691542,0.027937389,0.693147181,2,0.62,0.352820835,0
bluthgen2006,32,1,0.111111111,0.024461028,0.017179409,0,1,0.18,0.176410417,0.289163895
bluthgen2006,33,3,1.378787879,0.03358209,0.023979592,1.098612289,3,0.413333333,0.529231252,0.420852622
bodner20096,1,2,1.333333333,0.094594595,0.0625,0.693147181,2,0.222222222,0.243406173,0.594316129
bodner20096,2,2,0.7,0.131756757,0.090909091,0.693147181,2,0.388888889,0.243406173,0.149725846
bodner20096,3,1,0.2,0.121621622,0.083333333,0,1,0.277777778,0.121703087,0
bodner20096,4,1,0.5,0.081081081,0.055555556,0,1,0.111111111,0.121703087,0.569323442
bodner20096,5,3,1.533333333,0.141891892,0.1,1.098612289,3,0.5,0.36510926,0.203795047
bodner20096,6,1,0.333333333,0.094594595,0.0625,0,1,0.166666667,0.121703087,0.317393806
bodner20096,7,2,0.7,0.131756757,0.090909091,0.693147181,2,0.388888889,0.243406173,0.149725846
bodner20096,8,4,3.5,0.081081081,0.055555556,1.386294361,4,0.277777778,0.486812347,0.830706192
bodner20096,9,2,1.2,0.121621622,0.083333333,0.693147181,2,0.333333333,0.243406173,0.405683871
coley2006,1,2,0.444444444,0.031108144,0.016107383,0.693147181,2,0.136363636,0.074048036,0.22934436
coley2006,2,5,3.267857143,0.033911883,0.018160284,1.609437912,5,0.204545455,0.18512009,0.584514659
coley2006,3,2,0.253968254,0.036048064,0.017811048,0.693147181,2,0.181818182,0.074048036,0.031223245
coley2006,4,1,0.142857143,0.029105474,0.014938298,0,1,0.079545455,0.037024018,0.114378125
coley2006,5,2,0.625,0.028838451,0.014140069,0.693147181,2,0.113636364,0.074048036,0.351693902
coley2006,6,3,0.625,0.036048064,0.018710596,1.098612289,3,0.181818182,0.111072054,0.236634978
coley2006,7,1,0.111111111,0.028971963,0.013721104,0,1,0.102272727,0.037024018,0
coley2006,8,1,0.125,0.028037383,0.013927436,0,1,0.090909091,0.037024018,0.05360537
coley2006,9,3,1.458333333,0.032843792,0.017474991,1.098612289,3,0.136363636,0.111072054,0.5
coley2006,10,1,0.111111111,0.028971963,0.013721104,0,1,0.102272727,0.037024018,0
coley2006,11,3,0.958333333,0.031508678,0.01852349,1.098612289,3,0.147727273,0.111072054,0.390947854
coley2006,12,3,2.25,0.02376502,0.012267212,1.098612289,3,0.068181818,0.111072054,0.781895708
coley2006,13,4,2.361111111,0.032843792,0.015832043,1.386294361,4,0.170454545,0.148096072,0.568355667
coley2006,14,3,0.517857143,0.036849132,0.020581655,1.098612289,3,0.215909091,0.111072054,0.148591191
coley2006,15,4,2.361111111,0.033110814,0.016994027,1.386294361,4,0.170454545,0.148096072,0.568355667
coley2006,16,4,1.976190476,0.032042724,0.016248675,1.386294361,4,0.147727273,0.148096072,0.54978781
coley2006,17,2,0.267857143,0.034445928,0.019917731,0.693147181,2,0.170454545,0.074048036,0.058764098
coley2006,18,2,0.458333333,0.03070761,0.015059748,0.693147181,2,0.125,0.074048036,0.256885213
coley2006,19,3,2.125,0.028037383,0.013927436,1.098612289,3,0.113636364,0.111072054,0.672843562
coley2006,20,1,0.125,0.028037383,0.013927436,0,1,0.090909091,0.037024018,0.05360537
coley2006,21,1,0.125,0.029906542,0.015436242,0,1,0.090909091,0.037024018,0.05360537
coley2006,22,5,2.833333333,0.031508678,0.016392469,1.609437912,5,0.147727273,0.18512009,0.600425653
coley2006,23,3,1.5,0.028571429,0.015308669,1.098612289,3,0.102272727,0.111072054,0.563791416
coley2006,24,1,0.25,0.025100134,0.013137227,0,1,0.045454545,0.037024018,0.369070246
coley2006,25,6,3.291666667,0.03070761,0.015899991,1.791759469,6,0.204545455,0.222144108,0.55124245
coley2006,26,3,1.666666667,0.020160214,0.012601014,1.098612289,3,0.079545455,0.111072054,0.654312876
coley2006,27,5,2.291666667,0.03070761,0.015899991,1.609437912,5,0.193181818,0.18512009,0.48703002
coley2006,28,3,0.777777778,0.03364486,0.016994027,1.098612289,3,0.170454545,0.111072054,0.308625752
coley2006,29,2,1.111111111,0.028971963,0.013721104,0.693147181,2,0.113636364,0.074048036,0.486229573
coley2006,30,2,1.333333333,0.023497997,0.012431872,0.693147181,2,0.045454545,0.074048036,0.743114787
coley2006,31,1,0.111111111,0.028971963,0.013721104,0,1,0.102272727,0.037024018,0
coley2006,32,1,0.25,0.02376502,0.012267212,0,1,0.045454545,0.037024018,0.369070246
coley2006,33,5,1.892857143,0.039252336,0.022051774,1.609437912,5,0.295454545,0.18512009,0.298335944
Ibanez2013,1,15,1.263077609,0.041970803,0.046649614,2.708050201,15,0.632653061,0.592279139,0.022565316
Ibanez2013,2,14,1.278982537,0.041970803,0.04248636,2.63905733,14,0.551020408,0.552793863,0.056168122
Ibanez2013,3,14,1.209149184,0.041970803,0.043956352,2.63905733,14,0.571428571,0.552793863,0.038193504
Ibanez2013,4,10,0.802792061,0.041970803,0.037383577,2.302585093,10,0.43537415,0.394852759,0.036588584
Ibanez2013,5,13,1.131327414,0.041058394,0.043260951,2.564949357,13,0.530612245,0.513308587,0.044473351
Ibanez2013,6,12,1.092172125,0.041970803,0.039088681,2.48490665,12,0.482993197,0.473823311,0.060936582
Ibanez2013,7,18,1.676559552,0.041970803,0.049921231,2.890371758,18,0.680272109,0.710734967,0.051900498
Ibanez2013,8,15,1.437486125,0.041970803,0.04382999,2.708050201,15,0.56122449,0.592279139,0.071260311
Ibanez2013,9,9,0.850184538,0.041970803,0.033631071,2.197224577,9,0.340136054,0.355367483,0.099821647
Ibanez2013,10,4,0.438131313,0.039233577,0.017501921,1.386294361,4,0.12585034,0.157941104,0.199762487
Ibanez2013,11,21,1.898178619,0.041970803,0.062837852,3.044522438,21,0.802721088,0.829190795,0.019400803
Ibanez2013,12,10,0.830472714,0.041970803,0.037695354,2.302585093,10,0.428571429,0.394852759,0.045648113
Ibanez2013,13,4,0.292832168,0.040145985,0.02184905,1.386294361,4,0.19047619,0.157941104,0.052173544
Ibanez2013,14,8,0.648654532,0.041970803,0.032001582,2.079441542,8,0.353741497,0.315882207,0.048123483
Ibanez2013,15,13,1.053229124,0.041970803,0.045000367,2.564949357,13,0.568027211,0.513308587,0.017085159
Ibanez2013,16,13,1.131764477,0.041970803,0.043858742,2.564949357,13,0.537414966,0.513308587,0.041832573
Ibanez2013,17,10,0.89458499,0.041970803,0.036725824,2.302585093,10,0.408163265,0.394852759,0.069270197
Ibanez2013,18,13,1.222111222,0.041058394,0.038927798,2.564949357,13,0.489795918,0.513308587,0.074637005
Ibanez2013,19,10,0.835396956,0.041058394,0.038020677,2.302585093,10,0.428571429,0.394852759,0.046817424
Ibanez2013,20,16,1.448329856,0.041970803,0.046435506,2.772588722,16,0.632653061,0.631764415,0.045649944
Ibanez2013,21,14,1.235299831,0.041970803,0.044669382,2.63905733,14,0.571428571,0.552793863,0.042204338
Ibanez2013,22,10,0.861028269,0.041970803,0.035855168,2.302585093,10,0.411564626,0.394852759,0.060583583
Ibanez2013,23,20,1.78967601,0.041970803,0.056945115,2.995732274,20,0.785034014,0.789705519,0.019500837
Ibanez2013,24,8,0.678578774,0.041970803,0.033868539,2.079441542,8,0.346938776,0.315882207,0.060018563
janzen1980,1,2,0.625,0.113636364,0.110294118,0.693147181,2,0.5,0.333513319,0.127582832
janzen1980,2,2,0.625,0.113636364,0.110294118,0.693147181,2,0.5,0.333513319,0.127582832
janzen1980,3,4,1.458333333,0.121212121,0.129124821,1.386294361,4,0.6,0.667026637,0
janzen1980,4,3,0.958333333,0.121212121,0.123119015,1.098612289,3,0.583333333,0.500269978,8.60E-17
janzen1980,5,2,0.833333333,0.075757576,0.085388994,0.693147181,2,0.25,0.333513319,0.436208584
janzen1980,6,4,3.125,0.113636364,0.103806228,1.386294361,4,0.4,0.667026637,0.54441654
janzen1980,7,1,0.125,0.113636364,0.103806228,0,1,0.4,0.166756659,0
janzen1980,8,1,0.125,0.113636364,0.103806228,0,1,0.4,0.166756659,0
janzen1980,9,1,0.125,0.113636364,0.103806228,0,1,0.4,0.166756659,0
janzen2003,1,2,0.583333333,0.00191156,0.000368657,0.693147181,2,0.006346328,0.017746058,0.645260741
janzen2003,2,3,0.225,0.002808917,0.000569311,1.098612289,3,0.041704442,0.026619087,0.217755497
janzen2003,3,1,0.333333333,0.001504245,0.00029817,0,1,0.002719855,0.008873029,0.697983157
janzen2003,4,1,0.25,0.001728536,0.000361464,0,1,0.003626473,0.008873029,0.618897175
janzen2003,5,2,0.169934641,0.002520918,0.00047522,0.693147181,2,0.023572076,0.017746058,0.281866857
janzen2003,6,1,0.25,0.001527759,0.000294277,0,1,0.003626473,0.008873029,0.618897175
janzen2003,7,2,0.555555556,0.001662082,0.000300862,0.693147181,2,0.018132366,0.017746058,0.488425509
janzen2003,8,1,0.055555556,0.001662082,0.000300799,0,1,0.01631913,0.008873029,0.205414901
janzen2003,9,2,0.555555556,0.001662082,0.000300862,0.693147181,2,0.018132366,0.017746058,0.488425509
janzen2003,10,6,0.803729062,0.003369231,0.00063827,1.791759469,6,0.094288305,0.053238174,0.21826246
janzen2003,11,1,0.5,0.001299603,0.000252161,0,1,0.001813237,0.008873029,0.809448588
janzen2003,12,2,0.201923077,0.001983954,0.000427004,0.693147181,2,0.019038985,0.017746058,0.336977995
janzen2003,13,2,0.201923077,0.001983954,0.000427004,0.693147181,2,0.019038985,0.017746058,0.336977995
janzen2003,14,3,0.701923077,0.001983954,0.000427173,1.098612289,3,0.020852221,0.026619087,0.475835047
janzen2003,15,3,0.260746606,0.00264381,0.000492589,1.098612289,3,0.034451496,0.026619087,0.265673046
janzen2003,16,3,0.260746606,0.00264381,0.000492589,1.098612289,3,0.034451496,0.026619087,0.265673046
janzen2003,17,1,0.0625,0.002468687,0.000436678,0,1,0.014505893,0.008873029,0.23779435
janzen2003,18,2,0.125,0.00269608,0.000538642,0.693147181,2,0.032638259,0.017746058,0.191569467
janzen2003,19,1,0.045454545,0.002354889,0.000424157,0,1,0.019945603,0.008873029,0.150249006
janzen2003,20,6,1.117676768,0.002091339,0.000434925,1.791759469,6,0.060743427,0.053238174,0.354408684
janzen2003,21,10,1.170741247,0.002244475,0.00044561,2.302585093,10,0.106074343,0.08873029,0.265975194
janzen2003,22,2,0.295454545,0.002038515,0.000390993,0.693147181,2,0.023572076,0.017746058,0.360826232
janzen2003,23,2,0.19047619,0.002075812,0.00036523,0.693147181,2,0.025385313,0.017746058,0.287577921
janzen2003,24,2,0.158730159,0.001775005,0.000330009,0.693147181,2,0.027198549,0.017746058,0.251700882
janzen2003,25,3,0.305194805,0.001824786,0.000301488,1.098612289,3,0.034451496,0.026619087,0.289578437
