,connectance,web asymmetry,links per species,cluster coefficient,nestedness,NODF,weighted nestedness,weighted connectance,H2,number.of.species.HL,number.of.species.LL,mean.number.of.shared.partners.HL,mean.number.of.shared.partners.LL,cluster.coefficient.HL,cluster.coefficient.LL,weighted.cluster.coefficient.HL,weighted.cluster.coefficient.LL,niche.overlap.HL,niche.overlap.LL,togetherness.HL,togetherness.LL,C.score.HL,C.score.LL,V.ratio.HL,V.ratio.LL,discrepancy.HL,discrepancy.LL,extinction.slope.HL,extinction.slope.LL,robustness.HL,robustness.LL,functional.complementarity.HL,functional.complementarity.LL,partner.diversity.HL,partner.diversity.LL,generality.HL,vulnerability.LL
basset1996,0.189814815,0.542857143,1.171428571,0.125,21.16596452,24.40633245,0.54711135,0.160278746,0,27,8,0.472934473,0.821428571,0.265243902,0.336946703,0.265822785,0.02688172,0.321889839,0.205512205,0.168625356,0.080462185,0.573539886,0.60327381,0.910081744,5.406639004,17,17,3.726133258,1.286842187,0.782292628,0.559354323,15.77126973,20.19202555,0.574804979,1.958100885,2.12195122,9.097560976
bluthgen2006,0.151515152,-0.534883721,1.162790698,0.060606061,13.04066341,31.62137455,0.616222123,0.172093023,0,10,33,0.577777778,0.556818182,0.386666667,0.204,0.060653188,0.31372549,0.086630241,0.363424423,0.035720845,0.173847854,0.715552349,0.48733428,9.748743719,0.855731225,21,21,1.224659905,2.476074857,0.555206208,0.703565039,24.88246528,21.48061791,2.177080923,0.558186746,12.76,2.04
bodner20096,0.2,0.052631579,0.947368421,0.111111111,26.21949017,22.01646091,0.359994749,0.134502924,0,10,9,0.288888889,0.416666667,0.296296296,0.244444444,0,0,0.166402116,0.215740741,0.081111111,0.12037037,0.740740741,0.65162037,1.147058824,0.631578947,10,9,1.868500373,1.442508194,0.649265022,0.591624648,13.6093518,13.64690528,0.784200842,0.799232875,2.666666667,2.444444444
coley2006,0.070175439,0.070422535,1.23943662,0.03030303,8.880662542,11.78097559,0.381085163,0.055057618,0,38,33,0.152204836,0.28219697,0.13292011,0.090311005,0.075691412,0.089005236,0.055342658,0.10944633,0.018828039,0.048808396,0.887011894,0.804232428,2.276134122,0.882446386,63,71,2.230151195,1.592012613,0.684908622,0.614218483,52.64351775,53.31801662,1.181148371,1.124334542,4.386363636,3.431818182
Ibanez2013,0.471153846,0.04,5.88,0.458333333,55.94664043,52.32712148,0.133005489,0.25585034,0,26,24,5.732307692,5.811594203,0.496315193,0.525902669,0.988526538,0.988270517,0.496255441,0.448510777,0.279636752,0.221636223,0.29787747,0.354887483,1.273730684,2.826111424,112,106,15.36778206,14.85709548,0.934128547,0.93565214,71.321276,69.95460015,2.45175233,2.567284298,11.91156463,13.67346939
janzen1980,0.277777778,-0.058823529,1.176470588,0.222222222,19.25344208,45.3125,0.605840417,0.211764706,0,8,9,0.642857143,0.944444444,0.488888889,0.35,0.080645161,0.12244898,0.25465368,0.458134921,0.121031746,0.269097222,0.616071429,0.265625,2.923076923,1.130434783,7,9,2.040871005,1.911903608,0.675543732,0.662277916,11.05640157,9.395868633,1.204512614,0.927253742,4.4,2.8
janzen2003,0.015141116,-0.494363929,1.776167472,0.010775862,2.159172467,2.690638015,0.326530592,0.01325765,0,157,464,0.130573248,0.059385939,0.027083268,0.024836722,0.394052082,0.70457623,0.014255807,0.021782836,0.003581115,0.005161483,0.969315995,0.963697576,5.682288151,1.56458425,992,985,1.768838117,4.297611295,0.636753368,0.798021322,416.8268325,429.407535,2.281049961,1.116654652,12.56663645,3.899365367
Joern-Altuda,0.160839161,0.405405405,2.486486486,0.090909091,18.22651935,30.40649709,0.447570056,0.123457697,0,52,22,0.684766214,2.54978355,0.336462451,0.2090301,0.832919377,0.486836945,0.162148979,0.322778009,0.068452937,0.143998426,0.659259114,0.436208626,4.884778013,3.776619509,81,96,8.065832102,2.349675988,0.876479883,0.694520563,75.06001023,59.81885772,1.657341062,2.26392908,7.402173913,10.86956522
Joern-Marathon,0.136363636,0.397260274,2.095890411,0.090909091,10.88960892,31.89983185,0.523329333,0.119258662,0,51,22,0.626666667,1.645021645,0.27124183,0.224400871,0.647983473,0.409516888,0.186893014,0.274946702,0.078096196,0.096850998,0.637313741,0.492316154,3.825842697,6.161027313,71,77,4.851460814,1.964830655,0.822193647,0.66108162,68.2246593,52.70443839,1.447657851,2.205693622,5.967320261,11.44444444
Leather-Britain,0.21969697,-0.872340426,1.234042553,0.051136364,22.40924997,36.86904552,0.804843184,0.292278063,0,6,88,2.066666667,0.79414838,0.606974922,0.255747126,0.004091329,0.517073171,0.064519453,0.598807036,0.02650463,0.376204574,0.675283489,0.267611459,45.79150579,0.550348953,21,30,1.352737335,4.63323392,0.56915889,0.80603978,29.52502684,14.92570297,3.71777386,0.348155056,53.4137931,1.534482759
